Ppd_D1,NLP3_3B,Plant_height_[cm],Spike_length_[cm],Spikelets_per_spike,Tiller_number,Internode_1_length_[cm],Internode_2_length_[cm],Internode_3_length_[cm],Internode_4_length_[cm],Internode_5_length_[cm],Internode_6_length_[cm],Spike_weight_[g],Culm_weight_[g],Number_of_grains_per_spike,Grain_weight_per_spike_[g],Grain_weight_per_plant_[ln(g)],Thousand_kernel_weight_[g],Time_before_heading_[days],Time_before_anthesis_[days],Spike_density,Grains_in_spikelet,Internode_number,Harvest_index
aa,HG,50.0,8.5,18.0,3.0,14.0,15.0,7.0,4.5,1.0,,1.76,0.59,36.0,1.31,0.9360933591703348,36.38888888888889,52.0,54,21.17647058823529,2.0,5.0,0.5574468085106383
aa,HG,65.0,7.0,14.0,4.0,,13.5,,4.5,,,0.57,0.35,22.0,0.33,0.418710334858185,,52.0,54,20.0,1.571428571428571,4.0,
aa,HG,56.5,7.0,15.0,3.0,26.0,13.0,6.5,4.0,,,1.54,0.41,34.0,1.25,1.396244691973059,36.76470588235294,52.0,54,21.42857142857143,2.266666666666667,4.0,0.6410256410256411
aa,HG,47.5,8.5,17.0,3.0,15.5,11.5,7.5,4.0,,,2.04,0.48,40.0,1.6,1.193922468472435,40.0,52.0,54,20.0,2.352941176470588,4.0,0.634920634920635
aa,HG,50.0,6.0,,3.0,21.5,10.5,,4.0,2.0,,0.95,0.22,24.0,0.78,1.050821624831761,32.5,52.0,54,,,5.0,0.6666666666666667
aa,HG,55.0,8.0,17.0,4.0,17.0,14.0,8.0,5.5,3.0,,1.56,0.46,26.0,1.06,0.5007752879124892,40.76923076923077,52.0,54,21.25,1.529411764705882,5.0,0.5247524752475248
aa,HG,64.0,8.5,16.0,2.0,28.0,13.5,8.0,5.0,1.0,,1.87,0.53,37.0,1.43,0.9042181506398858,38.64864864864865,52.0,54,18.82352941176471,2.3125,5.0,0.5958333333333332
bb,GG,61.0,5.5,,2.0,,11.5,6.5,3.5,,,0.85,0.43,21.0,0.64,0.3506568716131693,30.47619047619047,58.0,60,,,4.0,0.5
bb,GG,70.5,9.5,17.0,3.0,31.5,18.0,8.0,4.0,,,2.61,0.83,47.0,2.09,1.477048724388355,44.46808510638298,58.0,60,17.89473684210526,2.764705882352941,4.0,0.6075581395348837
bb,GG,61.0,7.5,,2.0,,11.0,,3.5,,,1.25,0.48,27.0,0.92,0.6043159668533296,34.07407407407408,58.0,60,,,4.0,0.5317919075144509
bb,GG,65.5,8.0,,3.0,,14.0,,4.5,,,1.3,0.55,32.0,1.0,1.490654376444133,31.25,58.0,60,,,4.0,0.5405405405405405
bb,GG,65.0,9.0,17.0,2.0,30.0,14.5,8.0,4.0,,,2.27,0.67,42.0,1.83,1.184789984909162,43.57142857142857,58.0,60,18.88888888888889,2.470588235294118,4.0,0.6224489795918368
bb,GG,72.0,7.0,,2.0,,14.0,8.0,5.0,1.5,,1.05,0.54,26.0,0.77,0.2311117209633866,29.61538461538462,58.0,60,,,5.0,0.4842767295597484
bb,GG,48.5,7.0,,2.0,17.0,14.0,,4.0,0.5,,1.39,0.45,29.0,1.05,0.5306282510621705,36.20689655172414,58.0,60,,,5.0,0.5706521739130436
bb,GG,57.0,6.5,,1.0,22.0,11.0,9.0,5.5,2.5,,1.53,0.41,33.0,1.27,0.2390169004704999,38.48484848484848,58.0,60,,,5.0,0.654639175257732
bb,GG,41.5,6.5,,1.0,,11.0,9.0,4.0,1.5,,0.95,0.41,19.0,0.71,-0.342490308946776,37.36842105263158,58.0,60,,,5.0,0.5220588235294118
bb,GG,42.0,7.0,14.0,1.0,,11.5,8.5,4.0,1.0,,0.9,0.49,19.0,0.59,-0.527632742082372,31.05263157894737,58.0,60,20.0,1.357142857142857,5.0,0.4244604316546762
bb,GG,65.5,9.0,17.0,2.0,28.5,15.5,7.5,4.0,1.0,,2.37,0.71,46.0,1.87,0.9555114450274363,40.65217391304348,58.0,60,18.88888888888889,2.705882352941177,5.0,0.6071428571428572
bb,GG,50.0,7.0,,1.0,22.0,12.0,6.0,3.0,,,1.2,0.3,25.0,0.93,-0.07257069283483537,37.2,58.0,60,,,4.0,0.62
